date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2025-01-10;19:28:39;Executed;"SCALc5opp71kC8M";"Palantir Technologies";Security;Buy;US69608A1088;30;66,07;-1.982,10;0,00;0,00;EUR
2025-01-10;01:00:00;Executed;"EXQN8KWH5BDWUFBCQVBMLS";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;40,00;0,00;;EUR
2025-01-08;01:00:00;Executed;"949474096";"Gutschrift";Cash;Deposit;;;;500,00;0,00;;EUR
2025-01-07;16:23:18;Executed;"SCAL4ctA1LhhShM";"Palantir Technologies";Security;Sell;US69608A1088;34;69,00;2.346,00;0,00;0,00;EUR
2025-01-07;01:00:00;Executed;"949408031";"Gutschrift";Cash;Deposit;;;;10,00;0,00;;EUR
2025-01-07;01:00:00;Executed;"949397840";"saldo";Cash;Deposit;;;;20,00;0,00;;EUR
2024-12-31;01:00:00;Executed;"52024003";"KKT-Abschluss";Cash;Interest;;;;-24,06;0,00;0,00;EUR
2024-12-27;13:12:32;Executed;"SCALqDp5L6bMTmQ";"JPMorgan ETFs (Ireland) ICAV - JPM Nasdaq Equity Premium Income Active UCITS ETF - USD (dist)";Security;Buy;IE000U9J8HX9;4;24,995;-99,98;0,99;0,00;EUR
2024-12-24;01:00:00;Executed;"948519767";"Ubertrag";Cash;Deposit;;;;90,00;0,00;;EUR
2024-12-20;17:36:02;Executed;"SCALQo4adMU5bJG";"JPMorgan ETFs (Ireland) ICAV - JPM Nasdaq Equity Premium Income Active UCITS ETF - USD (dist)";Security;Buy;IE000U9J8HX9;2;24,985;-49,97;0,99;0,00;EUR
2024-12-20;01:00:00;Executed;"WWUM 00410462061";"Main Street Capital Co";Security;Security transfer;US56035L1044;30;53,98;1.619,40;;;EUR
2024-12-20;01:00:00;Executed;"WWUM 00410461967";"Hoeegh Autoliners";Security;Security transfer;NO0011082075;32;8,98;287,36;;;EUR
2024-12-20;01:00:00;Executed;"WWEK 36102965";"Vertiv Holdings A";Cash;Distribution;US92537N1081;;;0,35;0,00;0,12;EUR
2024-12-20;01:00:00;Executed;"WWUM 00410462151";"W.P. Carey";Security;Security transfer;US92936U1097;2;52,00;104,00;;;EUR
2024-12-19;01:00:00;Executed;"WWEK 36044170";"FLEX LNG";Cash;Distribution;BMG359472021;;;10,94;0,00;4,61;EUR
2024-12-19;01:00:00;Executed;"WWEK 36006034";"Hoeegh Autoliners";Cash;Distribution;NO0011082075;;;42,63;0,00;48,08;EUR
2024-12-18;16:55:09;Executed;"SCALepUSA2hC5rA";"SoFi Technologies";Security;Buy;US83406F1021;22;16,148;-355,2559;0,00;0,00;EUR
2024-12-18;16:54:19;Executed;"SCALLMbEDKXiT2z";"FLEX LNG";Security;Sell;BMG359472021;18;20,66;371,88;0,00;0,00;EUR
2024-12-18;01:00:00;Executed;"AASE 66214932";"";Cash;Taxes;;;;6,94;0,00;;EUR
2024-12-17;01:00:00;Executed;"YZW3WQA0MAFLPB8G";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2024-12-13;13:15:31;Executed;"SCALfcW2jjUHNEB";"SoFi Technologies";Security;Savings plan;US83406F1021;2,615;15,292;-39,9885;0,00;0,00;EUR
2024-12-12;01:00:00;Executed;"5EHBBYPXRW9TH4B3MUELM7";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;40,00;0,00;;EUR
2024-12-10;09:25:51;Executed;"SCALtSSANPb7wWL";"Hoeegh Autoliners";Security;Buy;NO0011082075;3;9,50;-28,50;0,99;0,00;EUR
2024-12-09;20:04:13;Executed;"SCALpZkjEQ68jyY";"Palantir Technologies";Security;Buy;US69608A1088;1;69,39;-69,39;0,99;0,00;EUR
2024-12-09;18:41:09;Executed;"SCALHrdDW4brYGM";"Palantir Technologies";Security;Buy;US69608A1088;11;68,62;-754,82;0,00;0,00;EUR
2024-12-09;14:11:58;Executed;"SCALQYYGkmn9dVq";"Cloudflare A";Security;Sell;US18915M1071;8;106,22;849,76;0,00;13,75;EUR
2024-12-06;17:43:53;Executed;"SCALS86ofAu4Szj";"Palantir Technologies";Security;Buy;US69608A1088;4;72,01;-288,04;0,00;0,00;EUR
2024-12-06;17:43:26;Executed;"SCALNBNEbvf6LNW";"Palantir Technologies";Security;Buy;US69608A1088;18;71,99;-1.295,82;0,00;0,00;EUR
2024-12-06;17:42:35;Executed;"SCALAMZBQLCtvke";"Vertiv Holdings A";Security;Sell;US92537N1081;13;124,06;1.612,78;0,00;64,61;EUR
2024-12-06;01:00:00;Executed;"947865250";"Gutschrift";Cash;Deposit;;;;10,00;0,00;;EUR
2024-12-04;16:12:56;Executed;"SCALqtmJBvB8zdY";"SoFi Technologies";Security;Buy;US83406F1021;2;15,462;-30,924;0,99;0,00;EUR
2024-12-04;16:01:11;Executed;"SCALdTzFoCjbXBg";"Marvell Technology";Security;Buy;US5738741041;4;109,60;-438,40;0,00;0,00;EUR
2024-12-04;16:00:45;Executed;"SCAL8zmg4EtTVHr";"Okta Inc";Security;Sell;US6792951054;5;80,66;403,30;0,00;0,00;EUR
2024-12-04;13:55:54;Executed;"SCALGpHPk4iYdKE";"Okta Inc";Security;Buy;US6792951054;5;88,92;-444,60;0,00;0,00;EUR
2024-12-04;13:40:52;Executed;"SCAL4VSJctojB7Y";"Marvell Technology";Security;Buy;US5738741041;6;103,26;-619,5599;0,00;0,00;EUR
2024-12-04;13:39:33;Executed;"SCALMQb4YBVW5XD";"Cloudflare A";Security;Sell;US18915M1071;10;101,52;1.015,20;0,00;4,02;EUR
2024-12-04;01:00:00;Executed;"AASE 65826770";"";Cash;Taxes;;;;11,55;0,00;;EUR
2024-12-03;15:25:02;Executed;"SCALtYgdpMHdHe6";"Cloudflare A";Security;Buy;US18915M1071;1;100,06;-100,06;0,99;0,00;EUR
2024-12-03;15:20:34;Executed;"SCAL4pw6FT5XL9P";"Cloudflare A";Security;Buy;US18915M1071;2;100,08;-200,16;0,99;0,00;EUR
2024-12-03;15:19:53;Executed;"SCALBJ5mRUN1gsL";"Cloudflare A";Security;Buy;US18915M1071;4;100,08;-400,32;0,00;0,00;EUR
2024-12-03;15:19:10;Executed;"SCAL8BVhKGizL3Z";"Cloudflare A";Security;Buy;US18915M1071;11;100,08;-1.100,88;0,00;0,00;EUR
2024-12-03;15:17:05;Executed;"SCALBRhzPjZmppH";"GE Vernova";Security;Sell;US36828A1016;6;318,00;1.908,00;0,00;3,35;EUR
2024-11-29;14:24:55;Executed;"SCAL9bQdm5VGegK";"Hoeegh Autoliners";Security;Buy;NO0011082075;42;10,97;-460,74;0,00;0,00;EUR
2024-11-29;01:00:00;Executed;"947268848";"scalable";Cash;Deposit;;;;500,00;0,00;;EUR
2024-11-27;15:11:11;Executed;"SCALqAi7ZvNYXYj";"FLEX LNG";Security;Sell;BMG359472021;4;23,22;92,88;0,99;0,00;EUR
2024-11-27;01:00:00;Executed;"AASE 65583394";"";Cash;Taxes;;;;0,64;0,00;;EUR
2024-11-25;17:56:05;Cancelled;"SCALg34YDoUnpSq";"GE Vernova";Security;Sell;US36828A1016;0;0,00;0,00;0,00;0,00;EUR
2024-11-25;17:44:06;Cancelled;"SCALDozkAAvxZ6g";"Vertiv Holdings A";Security;Sell;US92537N1081;0;0,00;0,00;0,00;0,00;EUR
2024-11-20;14:45:18;Cancelled;"SCALWVZD21hXb7j";"Vertiv Holdings A";Security;Sell;US92537N1081;0;0,00;0,00;0,00;0,00;EUR
2024-11-18;16:52:23;Executed;"SCALNwvRvU3K955";"GE Vernova";Security;Buy;US36828A1016;1;316,00;-316,00;0,00;0,00;EUR
2024-11-18;16:51:57;Executed;"SCALcCkGo1Limfh";"GE Vernova";Security;Buy;US36828A1016;2;316,00;-632,00;0,00;0,00;EUR
2024-11-18;16:49:33;Executed;"SCALAP36axcGB1G";"GE Vernova";Security;Buy;US36828A1016;3;316,00;-948,00;0,00;0,00;EUR
2024-11-18;16:33:27;Executed;"SCALNBaphHLRHDF";"SoFi Technologies";Security;Buy;US83406F1021;20;13,468;-269,36;0,00;0,00;EUR
2024-11-18;16:00:23;Executed;"SCAL4nUzP5922Ge";"Palantir Technologies";Security;Sell;US69608A1088;37;57,00;2.109,00;0,00;224,17;EUR
2024-11-18;11:45:27;Cancelled;"SCALTAtQXeySZCo";"Palantir Technologies";Security;Sell;US69608A1088;0;0,00;0,00;0,00;0,00;EUR
2024-11-18;01:00:00;Executed;"4JKGZ6WMOG73U9SY";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2024-11-15;09:41:26;Cancelled;"SCALQdzJWmfK1mR";"Vertiv Holdings A";Security;Sell;US92537N1081;0;0,00;0,00;0,00;0,00;EUR
2024-11-14;19:36:13;Cancelled;"SCALNMbcS75uNhk";"Palantir Technologies";Security;Sell;US69608A1088;0;0,00;0,00;0,00;0,00;EUR
2024-11-14;12:48:12;Executed;"SCALVUYY54jMhov";"SoFi Technologies";Security;Buy;US83406F1021;2;13,068;-26,136;0,99;0,00;EUR
2024-11-14;11:35:10;Cancelled;"SCALE6MCw7JZAe3";"Palantir Technologies";Security;Sell;US69608A1088;0;0,00;0,00;0,00;0,00;EUR
2024-11-14;09:06:57;Executed;"SCALnr6TTiPnNLG";"SoFi Technologies";Security;Buy;US83406F1021;2;13,126;-26,252;0,99;0,00;EUR
2024-11-13;15:28:09;Executed;"SCALKtbqkDfVhMa";"SoFi Technologies";Security;Buy;US83406F1021;3;13,268;-39,804;0,99;0,00;EUR
2024-11-13;15:27:01;Executed;"SCALWwQBi7ygmdF";"iShares MSCI India (Acc)";Security;Sell;IE00BZCQB185;8;8,894;71,152;0,99;0,00;EUR
2024-11-13;15:21:50;Executed;"SCALE7rWtfVzPFU";"SoFi Technologies";Security;Buy;US83406F1021;3;13,334;-40,002;0,99;0,00;EUR
2024-11-13;15:16:12;Cancelled;"SCALhVrWGHcidFM";"Palantir Technologies";Security;Sell;US69608A1088;0;0,00;0,00;0,00;0,00;EUR
2024-11-13;13:52:32;Executed;"SCAL9nSJxPEEmBa";"SoFi Technologies";Security;Savings plan;US83406F1021;3,075;13,006;-39,9934;0,00;0,00;EUR
2024-11-13;01:00:00;Executed;"AASE 65106679";"";Cash;Taxes;;;;0,66;0,00;;EUR
2024-11-12;19:47:06;Executed;"SCALKBpinRTafca";"FLEX LNG";Security;Sell;BMG359472021;1;23,18;23,18;0,99;0,00;EUR
2024-11-12;01:00:00;Executed;"MQF9X1APFTJNVWA9JBICZ7";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;40,00;0,00;;EUR
2024-11-11;13:59:33;Executed;"SCALKt17C5a7A1E";"SoFi Technologies";Security;Buy;US83406F1021;3;12,91;-38,7299;0,99;0,00;EUR
2024-11-11;13:45:12;Executed;"SCALGVqKseLCxBH";"SoFi Technologies";Security;Buy;US83406F1021;8;12,842;-102,736;0,99;0,00;EUR
2024-11-08;17:33:51;Cancelled;"SCALsqmvNPLDkjm";"Palantir Technologies";Security;Sell;US69608A1088;0;0,00;0,00;0,00;0,00;EUR
2024-11-08;16:15:09;Executed;"SCALA8pVYeu93vG";"Hoeegh Autoliners";Security;Buy;NO0011082075;4;9,915;-39,6599;0,99;0,00;EUR
2024-11-08;15:57:40;Cancelled;"SCAL75K6haUdq1D";"Palantir Technologies";Security;Sell;US69608A1088;0;0,00;0,00;0,00;0,00;EUR
2024-11-07;12:36:48;Executed;"SCALmQzctpYorPh";"Hoeegh Autoliners";Security;Buy;NO0011082075;4;9,86;-39,44;0,99;0,00;EUR
2024-11-07;11:11:07;Executed;"SCALM6wwUfZhXUz";"FLEX LNG";Security;Buy;BMG359472021;3;22,48;-67,44;0,99;0,00;EUR
2024-11-06;15:27:32;Executed;"SCALmbVBCuZUbuw";"FLEX LNG";Security;Buy;BMG359472021;3;21,36;-64,08;0,99;0,00;EUR
2024-11-06;15:20:54;Executed;"SCALckm8CrgqX4v";"FLEX LNG";Security;Buy;BMG359472021;8;21,36;-170,88;0,99;0,00;EUR
2024-11-06;09:30:39;Cancelled;"SCALDBR1Aajn1am";"Palantir Technologies";Security;Sell;US69608A1088;0;0,00;0,00;0,00;0,00;EUR
2024-11-06;01:00:00;Executed;"946289177";"Gutschrift";Cash;Deposit;;;;10,00;0,00;;EUR
2024-11-05;15:58:46;Cancelled;"SCALFzSRiEJFboU";"Palantir Technologies";Security;Sell;US69608A1088;0;0,00;0,00;0,00;0,00;EUR
2024-10-30;07:30:13;Expired;"SCAL9XYfck5AYem";"China Mobile";Security;Buy;HK0941009539;0;0,00;0,00;0,00;0,00;EUR
2024-10-21;12:27:56;Executed;"SCALnKP1SQYpPEY";"China Mobile";Security;Buy;HK0941009539;6;8,75;-52,50;0,99;0,00;EUR
2024-10-18;15:56:04;Executed;"SCALkdSYcsDhYY7";"FLEX LNG";Security;Buy;BMG359472021;5;23,58;-117,90;0,99;0,00;EUR
2024-10-17;17:14:40;Executed;"SCAL9oyrqWen6A2";"Vertiv Holdings A";Security;Buy;US92537N1081;2;106,66;-213,32;0,99;0,00;EUR
2024-10-17;17:14:18;Executed;"SCAL7g9kx5fymdR";"Bloom Energy A";Security;Sell;US0937121079;7;9,393;65,751;0,99;0,00;EUR
2024-10-17;17:05:56;Executed;"SCALCENH4aXVtAi";"Vertiv Holdings A";Security;Buy;US92537N1081;3;106,40;-319,20;0,00;0,00;EUR
2024-10-17;16:57:41;Executed;"SCAL5voYRPiEk1A";"Vertiv Holdings A";Security;Buy;US92537N1081;8;106,18;-849,44;0,00;0,00;EUR
2024-10-17;14:18:10;Cancelled;"SCALrRnQfpyo9YK";"Vertiv Holdings A";Security;Buy;US92537N1081;0;0,00;0,00;0,00;0,00;EUR
2024-10-17;11:14:15;Executed;"SCALCCH68PVauEB";"China Mobile";Security;Sell;HK0941009539;147,013;8,593;1.263,2827;0,00;0,00;EUR
2024-10-17;02:00:00;Executed;"0E3H3HUYXMSAMPTY";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2024-10-14;13:59:03;Executed;"SCALRGJut9AjNKq";"Palantir Technologies";Security;Savings plan;US69608A1088;1;39,98;-39,9799;0,00;0,00;EUR
2024-10-11;02:00:00;Executed;"UHQTWBQOZW4WEDV6MJBJJW";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;40,00;0,00;;EUR
2024-10-10;15:36:23;Executed;"SCALJ2EV3kAX85G";"iShares MSCI India (Acc)";Security;Savings plan;IE00BZCQB185;3,216;9,328;-29,9988;0,00;0,00;EUR
2024-10-09;02:00:00;Executed;"UOGRUWJXJO9D298H5I7VAW";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;30,00;0,00;;EUR
2024-10-08;02:00:00;Executed;"944545456";"Gutschrift";Cash;Deposit;;;;10,00;0,00;;EUR
2024-10-04;17:00:36;Executed;"SCALU1LBx8FS8pd";"China Mobile";Security;Savings plan;HK0941009539;2,248;8,894;-19,9937;0,00;0,00;EUR
2024-10-03;02:00:00;Executed;"QZDHMQTPMGRYQHDDWSS2SY";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;20,00;0,00;;EUR
2024-09-30;02:00:00;Executed;"52024002";"KKT-Abschluss";Cash;Interest;;;;-10,7899;0,00;0,00;EUR
2024-09-26;13:10:29;Executed;"SCAL6281yjgjFrM";"China Mobile";Security;Buy;HK0941009539;7;8,407;-58,849;0,99;0,00;EUR
2024-09-25;02:00:00;Executed;"WWEK 32968144";"China Mobile";Cash;Distribution;HK0941009539;;;26,70;0,00;9,77;EUR
2024-09-17;10:11:40;Executed;"SCALugfDs6KwdJd";"Palantir Technologies";Security;Buy;US69608A1088;3;32,855;-98,565;0,99;0,00;EUR
2024-09-17;09:58:26;Executed;"SCAL4gZz9GLmyWL";"Palantir Technologies";Security;Buy;US69608A1088;33;32,945;-1.087,185;0,99;0,00;EUR
2024-09-17;09:56:29;Executed;"SCALXv1gWXoLc8v";"Super Micro Computer";Security;Sell;US86800U1043;3;402,80;1.208,40;0,99;0,00;EUR
2024-09-10;16:13:02;Executed;"SCAL3usR4TMH37D";"iShares MSCI India (Acc)";Security;Savings plan;IE00BZCQB185;3,199;9,377;-29,997;0,00;0,00;EUR
2024-09-09;02:00:00;Executed;"JTKTDV5WWEW21JIQ2U3171";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;30,00;0,00;;EUR
2024-09-06;02:00:00;Executed;"943243858";"Gutschrift";Cash;Deposit;;;;10,00;0,00;;EUR
2024-09-05;16:11:28;Executed;"SCALGHpfqmke7r9";"China Mobile";Security;Buy;HK0941009539;13;8,415;-109,395;0,99;0,00;EUR
2024-09-04;14:50:32;Executed;"SCALqCa6rtTa1dH";"China Mobile";Security;Savings plan;HK0941009539;2,369;8,442;-19,999;0,00;0,00;EUR
2024-09-03;02:00:00;Executed;"MUMTAIQPEWVNW2BSVFVTA6";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;20,00;0,00;;EUR
2024-08-30;13:30:43;Executed;"SCALs8f7UhVFLF8";"FLEX LNG";Security;Buy;BMG359472021;4;23,86;-95,44;0,99;0,00;EUR
2024-08-29;02:00:00;Executed;"WWEK 31902767";"Hoeegh Autoliners";Cash;Distribution;NO0011082075;;;8,25;0,00;7,15;EUR
2024-08-28;15:53:29;Executed;"SCALZPrp3dg87SR";"Super Micro Computer";Security;Buy;US86800U1043;1;389,95;-389,95;0,99;0,00;EUR
2024-08-28;15:46:54;Executed;"SCALUVuMzcRTTua";"Super Micro Computer";Security;Buy;US86800U1043;2;406,60;-813,20;0,99;0,00;EUR
2024-08-28;15:45:12;Executed;"SCALXaWmYipSmUS";"Vertiv Holdings A";Security;Sell;US92537N1081;18;73,09;1.315,6199;0,99;0,00;EUR
2024-08-15;12:02:54;Executed;"SCALRXYm7Z2UL4J";"Hoeegh Autoliners";Security;Buy;NO0011082075;18;10,98;-197,6399;0,99;0,00;EUR
2024-08-15;12:01:49;Executed;"SCALVz5uqbea83o";"iShares MSCI India (Acc)";Security;Sell;IE00BZCQB185;22;9,073;199,606;0,99;0,00;EUR
2024-08-14;15:02:13;Executed;"SCALjgkazp1diCJ";"Hoeegh Autoliners";Security;Buy;NO0011082075;7;10,84;-75,88;0,99;0,00;EUR
2024-08-14;15:00:55;Executed;"SCALuT7ZyfeeLBP";"Vodafone Group";Security;Sell;GB00BH4HKS39;71;0,8686;61,6706;0,99;0,00;EUR
2024-08-12;19:12:27;Executed;"SCALfmAHGubVFdC";"Vertiv Holdings A";Security;Buy;US92537N1081;6;66,85;-401,10;0,00;0,00;EUR
2024-08-12;11:26:10;Executed;"SCAL6uJ2MpnkBLV";"iShares MSCI India (Acc)";Security;Savings plan;IE00BZCQB185;3,252;9,225;-29,9997;0,00;0,00;EUR
2024-08-12;02:00:00;Executed;"942126957";"vertiv";Cash;Deposit;;;;500,00;0,00;;EUR
2024-08-09;02:00:00;Executed;"T1VHBZYAD8TYMVHGVUEZWE";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;30,00;0,00;;EUR
2024-08-06;02:00:00;Executed;"941907279";"Gutschrift";Cash;Deposit;;;;10,00;0,00;;EUR
2024-08-06;02:00:00;Executed;"WWEK 31403529";"Vodafone Group ADR";Cash;Distribution;US92857W3088;;;2,59;0,00;0,00;EUR
2024-08-05;13:41:02;Executed;"SCALkvKEz6VmEyk";"China Mobile";Security;Savings plan;HK0941009539;2,396;8,345;-19,9946;0,00;0,00;EUR
2024-08-02;13:06:30;Executed;"SCALuYhrf9mb71Z";"Vertiv Holdings A";Security;Buy;US92537N1081;2;66,81;-133,62;0,99;0,00;EUR
2024-08-02;02:00:00;Executed;"AGMLZZTBT824BHVYMZQ7CV";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;20,00;0,00;;EUR
2024-07-26;12:15:52;Executed;"SCALekSr7qVgTuZ";"Vertiv Holdings A";Security;Buy;US92537N1081;10;72,73;-727,30;0,00;0,00;EUR
2024-07-26;12:15:13;Executed;"SCALrb6TC3iMPNf";"Bloom Energy A";Security;Sell;US0937121079;3;13,51;40,53;0,99;0,00;EUR
2024-07-26;12:13:53;Executed;"SCALY5gnztwZmWg";"Bloom Energy A";Security;Sell;US0937121079;5;13,43;67,15;0,99;0,00;EUR
2024-07-26;12:13:04;Executed;"SCALu9TN9rCgh6E";"Bloom Energy A";Security;Sell;US0937121079;55;13,426;738,4299;0,00;0,00;EUR
2024-07-26;12:03:28;Executed;"SCALuKmNwLL6HHk";"China Mobile";Security;Buy;HK0941009539;20;8,654;-173,08;0,99;0,00;EUR
